; Buckwalter Arabic Lexicon -- Version Date: April 2009				
; Copyright (c) 2000-2009 QAMUS LLC (www.qamus.org)				
		Pref-0		
fst	fasatu	IVPref-Anti-tu	and/so + will + you [FEM SG]	CONJ + FUT + SUBJ:2FS
lAt	lAta	IVPref-Anti-ta	not + you [FEM SG]	NEG_PART + SUBJ:2FS
lAt	lAtu	IVPref-Anti-tu	not + you [FEM SG]	NEG_PART + SUBJ:2FS
wlAt	walAta	IVPref-Anti-ta	and + not + you [FEM SG]	CONJ + NEG_PART + SUBJ:2FS
wlAt	walAtu	IVPref-Anti-tu	and + not + you [FEM SG]	CONJ + NEG_PART + SUBJ:2FS
flAt	falAta	IVPref-Anti-ta	and/so + not + you [FEM SG]	CONJ + NEG_PART + SUBJ:2FS
flAt	falAtu	IVPref-Anti-tu	and/so + not + you [FEM SG]	CONJ + NEG_PART + SUBJ:2FS
mAt	mAta	IVPref-Anti-ta	not + you [FEM SG]	NEG_PART + SUBJ:2FS
mAt	mAtu	IVPref-Anti-tu	not + you [FEM SG]	NEG_PART + SUBJ:2FS
wmAt	wamAta	IVPref-Anti-ta	and + not + you [FEM SG]	CONJ + NEG_PART + SUBJ:2FS
